,0,
0,brightness,FALSE
1,contrast,FALSE
2,credits,FALSE
3,dataSource,FALSE
4,datasetName,FALSE
5,definitionQuery,FALSE
6,description,FALSE
7,findAndReplaceWorkspacePath,FALSE
8,getExtent,FALSE
9,getSelectedExtent,FALSE
10,getSelectionSet,FALSE
11,isBasemapLayer,FALSE
12,isBroken,FALSE
13,isFeatureLayer,FALSE
14,isGroupLayer,FALSE
15,isNetworkAnalystLayer,FALSE
16,isNetworkDatasetLayer,FALSE
17,isRasterLayer,FALSE
18,isRasterizingLayer,FALSE
19,isServiceLayer,FALSE
20,labelClasses,FALSE
21,longName,FALSE
22,maxScale,TRUE
23,minScale,TRUE
24,name,FALSE
25,replaceDataSource,FALSE
26,save,FALSE
27,saveACopy,FALSE
28,serviceProperties,FALSE
29,setSelectionSet,FALSE
30,showLabels,TRUE
31,supports,FALSE
32,symbology,FALSE
33,symbologyType,FALSE
34,time,FALSE
35,transparency,FALSE
36,updateLayerFromJSON,FALSE
37,visible,FALSE
38,workspacePath,FALSE
